Epoch,Training Loss,Validation Loss,F1 Macro
1,0.019804,0.016116,0.158655
2,0.014411,0.012578,0.382675
3,0.011163,0.010215,0.463221
4,0.008963,0.008207,0.518984
5,0.007085,0.007426,0.611568
6,0.005289,0.007109,0.697179
7,0.004146,0.006811,0.747204
8,0.004761,0.006931,0.759048
9,0.004463,0.006824,0.755991
10,0.003061,0.00678,0.767511
