class,precision,recall,f1-score,support
синтаксический,1.0,0.67,0.8,15
синтагматический,1.0,0.89,0.94,19
эпидигматический,0.53,0.71,0.61,14
парадигматический,0.78,0.86,0.82,42
коллокативный,0.8,0.4,0.53,10
тематический,0.88,0.81,0.85,27
формальный,0.57,0.33,0.42,12
идентичные,0.78,0.88,0.82,8
грамматический,0.94,0.83,0.88,18
составная,1.0,1.0,1.0,61
micro avg,0.87,0.82,0.84,226
macro avg,0.83,0.74,0.77,226
weighted avg,0.87,0.82,0.84,226
samples avg,0.85,0.84,0.84,226
